feature,importance
spot_lag_1,54.945847495508076
hour,6.572328216687799
hour_sin,6.327845467726758
hour_cos,5.153789616560791
spot_lag_24,4.459551593005118
spot_roll_std_24,3.4079765917289326
gen_solar_mw,2.8717537723123865
spot_lag_168,1.923999464711965
spot_lag_2,1.9123973718826675
spot_lag_48,1.6023158021257289
month,0.9304537811257722
dayofweek,0.7958008072288648
gen_fossil_gas_mw,0.7232162719195309
wx_temperature_2m_c,0.6846054459268073
gen_wind_onshore_mw,0.6776871398416858
gen_hydro_pumped_storage_mw,0.6590927647976986
dayofweek_sin,0.6284098983965593
spot_roll_mean_24,0.5761764404058981
gen_hard_coal_mw,0.33851510780765987
wx_wind_speed_100m_km_h,0.3199661624321191
wx_wind_speed_10m_km_h,0.31707180288526293
dayofweek_cos,0.28623997498509945
gen_hydro_water_reservoir_mw,0.23711116148405315
gen_biomass_mw,0.1842291152370168
gen_wind_offshore_mw,0.16449902629397303
gen_lignite_mw,0.16193726446683168
wx_wind_direction_100m,0.15363279856221096
wx_relative_humidity_2m,0.15227684163056618
gen_oil_mw,0.14971292885553322
flow_gb_dk1_mw,0.14867763483796806
flow_total_in_mw,0.14095307626393416
gen_other_mw,0.14089220155950988
gen_other_renewable_mw,0.13519494210208646
wx_wind_direction_10m,0.1282860922328149
is_weekend,0.12495284217104113
gen_coal_dervied_gas_mw,0.12335705847312098
gen_hydro_ror_mw,0.11500562590571269
wx_cloud_cover,0.10572633468194194
gen_total_mw,0.08843798829436647
flow_ch_at_mw,0.08640204131410816
load_lag_24,0.08070949458812077
flow_de_cz_mw,0.07500042815828874
flow_de_pl_mw,0.0701903991451757
gen_waste_mw,0.06758068916388765
flow_no2_dk1_mw,0.06460544619609013
load_lag_168,0.06032343076205064
is_holiday,0.053719490164388276
total_load_mw,0.05136060266553956
flow_ch_de_mw,0.04984168414353385
flow_gb_nl_mw,0.048731197072922075
flow_lt_pl_mw,0.0486740223584369
gen_nuclear_mw,0.04303200159392081
gen_energy_storage_mw,0.042094978652882524
flow_se4_pl_mw,0.039783427018633535
flow_be_nl_mw,0.038732370812983266
flow_de_at_mw,0.034536562243716706
flow_se3_dk1_mw,0.03410597017025884
flow_de_dk1_mw,0.03390650614197212
flow_cz_pl_mw,0.03159194909157378
flow_de_nl_mw,0.028976139039744
flow_nl_be_mw,0.02622008776893774
flow_at_de_mw,0.023007070385150798
flow_cz_de_mw,0.021465738327912348
flow_no2_nl_mw,0.021374750631867015
flow_dk1_de_mw,0.01754619384307557
flow_ua_pl_mw,0.017202617131764852
flow_pl_cz_mw,0.016897213359237124
flow_sk_pl_mw,0.015085422592144704
flow_no2_de_mw,0.015076478658062824
flow_it_fr_mw,0.015025770550416958
flow_nl_de_mw,0.013817184764394828
wx_precipitation_mm,0.01249603834503185
flow_ch_fr_mw,0.012196974119285161
flow_dk1_nl_mw,0.010003941354921901
flow_cz_at_mw,0.009975088543599107
gen_geothermal_mw,0.008717255537675573
flow_de_be_mw,0.008254701465365919
flow_it_north_at_mw,0.006999256118217841
flow_hu_at_mw,0.006501860676488048
flow_at_ch_mw,0.00600064049960679
flow_at_cz_mw,0.0056057767188167
flow_se4_de_mw,0.005477626230768356
flow_gb_be_mw,0.005240679074405961
flow_it_north_ch_mw,0.005139000646578312
flow_dk2_dk1_mw,0.005004327138362324
flow_fr_ch_mw,0.004938817244014783
flow_si_at_mw,0.00474652943625277
flow_fr_de_mw,0.004648108568195444
flow_es_fr_mw,0.00427380688997232
flow_gb_fr_mw,0.003464324186004575
flow_pl_de_mw,0.0032785977882516196
flow_sk_cz_mw,0.0031447412736200597
flow_fr_be_mw,0.002610396051018975
flow_be_fr_mw,0.0016479271535566724
flow_be_de_mw,0.0014019162330529103
flow_dk2_de_mw,0.0008578983236801748
flow_nl_dk1_mw,0.0006702724194594692
flow_de_ch_mw,0.0001608978606452556
missing_total_load,1.3185360578240718e-06
flow_dk2_se4_mw,0.0
flow_dk1_no2_mw,0.0
flow_dk1_dk2_mw,0.0
flow_de_se4_mw,0.0
flow_de_fr_mw,0.0
flow_de_dk2_mw,0.0
flow_de_no2_mw,0.0
market,0.0
flow_se4_dk2_mw,0.0
flow_se3_se4_mw,0.0
flow_pl_se4_mw,0.0
flow_no5_no2_mw,0.0
flow_no1_no2_mw,0.0
flow_nl_no2_mw,0.0
flow_gb_no2_mw,0.0
flow_lt_se4_mw,0.0
